Starling ID,Headwords,Gloss,review_tier,chosen_abbr,chosen_field,llm_second,second_field,v1_choice,v1_field,v2_choice,v2_field,agrees_v1,agrees_v2
PDR028,*agál-,"1 wide, broad 2 to leave, depart",3-llm-alone,SR_WB,"Spatial Relations — Wide, Broad",MO_GA,"Motion & Transportation — to Depart, Go Away",SR_RO,Spatial Relations — Round (adj),MO_GA,"Motion & Transportation — to Depart, Go Away",,
PDR029,*agál-,pot (earthen),1-all-three-agree,FD_PO,Food & Drink — Pot,PA_MD,"Physical Acts & Materials — to Mold, Form",FD_PO,Food & Drink — Pot,FD_PO,Food & Drink — Pot,YES,YES
PDR030,*agápai,ladle,2-llm-plus-one,FD_SP,Food & Drink — Spoon,FD_BW,Food & Drink — Bowl,FD_ML,Food & Drink — Mill,FD_SP,Food & Drink — Spoon,,YES
PDR031,*agásaj-,common flax,1-all-three-agree,CA_FL,"Clothing & Adornment — Flax, Linen",AV_PN,"Agriculture & Vegetation — Plant, Herb",CA_FL,"Clothing & Adornment — Flax, Linen",CA_FL,"Clothing & Adornment — Flax, Linen",YES,YES
PDR032,*agásti,a k. of tree (pea-tree),1-all-three-agree,AV_TR,Agriculture & Vegetation — Tree (generic),FD_FR,Food & Drink — Fruit,AV_TR,Agriculture & Vegetation — Tree (generic),AV_TR,Agriculture & Vegetation — Tree (generic),YES,YES
PDR033,*agáẓ-,to dig,1-all-three-agree,AV_DI,"Agriculture & Vegetation — to Dig, Delve",PA_CU,Physical Acts & Materials — to Cut,AV_DI,"Agriculture & Vegetation — to Dig, Delve",AV_DI,"Agriculture & Vegetation — to Dig, Delve",YES,YES
PDR034,*ággai,"sprout, shoot",3-llm-alone,AV_PN,"Agriculture & Vegetation — Plant, Herb",SR_GW,Spatial Relations — to Grow,AV_SS,Agriculture & Vegetation — to Sow; Seed,AV_SS,Agriculture & Vegetation — to Sow; Seed,,
PDR035,*agí-,"to fear, tremble",1-all-three-agree,EM_FF,"Emotion — Fear, Fright",MO_SH,Motion & Transportation — to Shake,EM_FF,"Emotion — Fear, Fright",EM_FF,"Emotion — Fear, Fright",YES,YES
PDR036,*agíl,eagle-wood,3-llm-alone,AV_TR,Agriculture & Vegetation — Tree (generic),PA_GO,Physical Acts & Materials — Gold,PW_WD,"Physical World — Wood, Timber",PW_WD,"Physical World — Wood, Timber",,
PDR037,*aj-,mother,2-llm-plus-one,MK_MO,Mankind — Mother,MK_GM,Mankind — Grandmother,MK_ML,Mankind — Mother-in-Law,MK_MO,Mankind — Mother,,YES
PDR038,*ája-,an elder relative (father's brother; grandfather; father),3-llm-alone,MK_UN,Mankind — Uncle,MK_FA,Mankind — Father,MK_BS,Mankind — Sibling(s),MK_FL,Mankind — Father-in-Law,,
PDR039,*ája- ~ *ajír-,"to doubt, suspect",3-llm-alone,MT_DB,Mind & Thought — Doubt (n),MT_SU,Mind & Thought — Suspicion,MT_SU,Mind & Thought — Suspicion,MT_SU,Mind & Thought — Suspicion,,
PDR040,*ak-,an elder relative,3-llm-alone,MK_SI,Mankind — Sister,MK_GM,Mankind — Grandmother,MK_GM,Mankind — Grandmother,MK_GM,Mankind — Grandmother,,
PDR041,*a-/*ā,that (over there),3-llm-alone,SR_PL,Spatial Relations — Place,SR_HI,Spatial Relations — High,SR_NE,Spatial Relations — Near (adj),EM_PD,Emotion — Proud,,
PDR042,*al-,"to weave, plait",1-all-three-agree,CA_WE,Clothing & Adornment — to Weave,PA_PL,Physical Acts & Materials — to Plait,CA_WE,Clothing & Adornment — to Weave,CA_WE,Clothing & Adornment — to Weave,YES,YES
PDR043,*al-,negative morpheme,3-llm-alone,LM_ST,"Language & Music — to Speak, Talk",MT_TR,"Mind & Thought — to Think, Reflect",EM_HT,Emotion — Hate (n),EM_HT,Emotion — Hate (n),,
PDR044,*aḷ-,"to sprinkle, bail out",2-llm-plus-one,PA_SO,"Physical Acts & Materials — to Strew, Spread Out",FD_CO,Food & Drink — to Cook,FD_SU,"Food & Drink — to Suck, Suckle",PA_SO,"Physical Acts & Materials — to Strew, Spread Out",,YES
PDR045,*àḷ-,fat; strength,2-llm-plus-one,BP_SM,"Body Parts & Functions — Strong, Mighty, Powerful",BP_FL,Body Parts & Functions — Flesh,BP_SM,"Body Parts & Functions — Strong, Mighty, Powerful",FD_BT,Food & Drink — Butter,YES,
PDR046,*àḷ-,"cave, hole",1-all-three-agree,SR_HL,Spatial Relations — Hole,PW_WF,"Physical World — Woods, Forest",SR_HL,Spatial Relations — Hole,SR_HL,Spatial Relations — Hole,YES,YES
PDR047,*aḷ-,"to fear, be afraid",1-all-three-agree,EM_FF,"Emotion — Fear, Fright",EM_TC,"Emotion — Timid, Cowardly",EM_FF,"Emotion — Fear, Fright",EM_FF,"Emotion — Fear, Fright",YES,YES
PDR048,*al-,"to spread, cover",1-all-three-agree,PA_SO,"Physical Acts & Materials — to Strew, Spread Out",SR_CO,Spatial Relations — to Cover,PA_SO,"Physical Acts & Materials — to Strew, Spread Out",PA_SO,"Physical Acts & Materials — to Strew, Spread Out",YES,YES
PDR049,*al- (?),dog,1-all-three-agree,AN_DO,Animals — Dog,AN_AN,Animals — Animal,AN_DO,Animals — Dog,AN_DO,Animals — Dog,YES,YES
PDR050,*alá-,to suffer (= to be weary),1-all-three-agree,EM_PS,"Emotion — Pain, Suffering",BP_WE,"Body Parts & Functions — Weak, Infirm",EM_PS,"Emotion — Pain, Suffering",EM_PS,"Emotion — Pain, Suffering",YES,YES
PDR051,*aḷ-a-,to measure,1-all-three-agree,SR_MS,Spatial Relations — to Measure,QN_QN,"Quantity & Number — Amount, Quantity",SR_MS,Spatial Relations — to Measure,SR_MS,Spatial Relations — to Measure,YES,YES
PDR052,*aḷ-a-,"to mix; to join, approach",4-unclassified,SR_JU,,SR_JU,"Spatial Relations — to Join, Unite",FD_MX,"Food & Drink — to Mix, Blend",FD_MX,"Food & Drink — to Mix, Blend",,
PDR053,*alá-,to make verbal noise,3-llm-alone,LM_VC,Language & Music — Various Cries,LM_SC,"Language & Music — to Shout, Cry Out",LM_BS,Language & Music — to be Silent,LM_BS,Language & Music — to be Silent,,
PDR054,*alág-,blade; splint,3-llm-alone,PA_TO,Physical Acts & Materials — Tool,WH_WA,"Warfare & Hunting — Arms, Weapons",PA_KF,Physical Acts & Materials — Knife (tool),WH_SW,Warfare & Hunting — Sword,,
PDR055,*alág-,parched rice,3-llm-alone,FD_FD,Food & Drink — Food,AV_GG,"Agriculture & Vegetation — Grain (generic, British Corn)",AV_RI,Agriculture & Vegetation — Rice,AV_RI,Agriculture & Vegetation — Rice,,
PDR056,*alái-,"to wave, move from side to side, wander",2-llm-plus-one,MO_SH,Motion & Transportation — to Shake,MO_MO,Motion & Transportation — to Move,MO_FE,Motion & Transportation — to Flee,MO_SH,Motion & Transportation — to Shake,,YES
PDR057,*alái-,to rinse,1-all-three-agree,PA_WA,Physical Acts & Materials — to Wash,FD_CO,Food & Drink — to Cook,PA_WA,Physical Acts & Materials — to Wash,PA_WA,Physical Acts & Materials — to Wash,YES,YES
PDR058,*alár-,to blossom,1-all-three-agree,AV_FL,Agriculture & Vegetation — Flower,SR_GW,Spatial Relations — to Grow,AV_FL,Agriculture & Vegetation — Flower,AV_FL,Agriculture & Vegetation — Flower,YES,YES
PDR059,*alé,vocative interjection,3-llm-alone,LM_VC,Language & Music — Various Cries,LM_CS,"Language & Music — to Call, Summon",SR_SE,Spatial Relations — to Separate,LM_VO,Language & Music — Voice (n),,
PDR060,*áli,iron-wood tree,3-llm-alone,AV_TR,Agriculture & Vegetation — Tree (generic),PA_GL,Physical Acts & Materials — Glass,PW_TR,"Physical World — Tree, Oak",PW_WD,"Physical World — Wood, Timber",,
PDR061,*áli,waterlily,3-llm-alone,AV_FL,Agriculture & Vegetation — Flower,AN_BI,Animals — Bird,AN_WE,Animals — Wether,PW_WA,Physical World — Water,,
PDR062,*am-,to press down,1-all-three-agree,PA_PR,Physical Acts & Materials — to Press,MO_SI,Motion & Transportation — to Sink,PA_PR,Physical Acts & Materials — to Press,PA_PR,Physical Acts & Materials — to Press,YES,YES
PDR063,*áma-,mother (hon.),2-llm-plus-one,MK_MO,Mankind — Mother,MK_PA,Mankind — Parent(s),MK_ML,Mankind — Mother-in-Law,MK_MO,Mankind — Mother,,YES
PDR064,*amái-,to fit together; to be useful; to prepare,2-llm-plus-one,SR_JU,"Spatial Relations — to Join, Unite",PA_BI,Physical Acts & Materials — to Bind,SO_ME,Social Relations — to Meet,SR_JU,"Spatial Relations — to Join, Unite",,YES
PDR065,*amai-,"to be calm, settled",3-llm-alone,SR_QU,Spatial Relations — Quiet (adj),EM_PA,Emotion — Passion,EM_LS,"Emotion — to Laugh, Smile",EM_PL,Emotion — to Please,,
PDR066,*amb-,arrow,1-all-three-agree,WH_AW,Warfare & Hunting — Arrow,PA_TO,Physical Acts & Materials — Tool,WH_AW,Warfare & Hunting — Arrow,WH_AW,Warfare & Hunting — Arrow,YES,YES
PDR067,*ámbai-,to crawl [walk on hands and feet],2-llm-plus-one,MO_CC,"Motion & Transportation — to Creep, Crawl",MO_WA,Motion & Transportation — to Walk,BP_FT,Body Parts & Functions — Foot,MO_CC,"Motion & Transportation — to Creep, Crawl",,YES
PDR068,*ámbali,rice-water; rice gruel,3-llm-alone,FD_FD,Food & Drink — Food,FD_CO,Food & Drink — to Cook,AV_RI,Agriculture & Vegetation — Rice,FD_DI,Food & Drink — Dish,,
PDR069,*an-,"fit, convenient",3-llm-alone,SR_FS,"Spatial Relations — Form, Shape (n)",EM_GD,Emotion — Good,CA_PO,Clothing & Adornment — Pocket,CA_SO,Clothing & Adornment — Shoe,,
PDR070,*aṇ-,"upper part, up; to lift up (the head)",3-llm-alone,SR_HI,Spatial Relations — High,SR_TO,Spatial Relations — Top,BP_HE,Body Parts & Functions — Head,BP_EL,Body Parts & Functions — Elbow,,
PDR071,*áṇa-,elder brother,3-llm-alone,MK_BR,Mankind — Brother,MK_UN,Mankind — Uncle,MK_BL,Mankind — Brother-in-Law,MK_BL,Mankind — Brother-in-Law,,
PDR072,*aṇái,"bank, dam",3-llm-alone,AV_FC,Agriculture & Vegetation — Field for Cultivation,PW_RS,"Physical World — Brook, Stream, River",PT_BA,Possession & Trade — Bank,PW_RS,"Physical World — Brook, Stream, River",,
PDR073,*aṇái- ~ *anḍ-,"to join, unite",2-llm-plus-one,SR_JU,"Spatial Relations — to Join, Unite",MO_CO,Motion & Transportation — to Come,SR_JU,"Spatial Relations — to Join, Unite",SO_ME,Social Relations — to Meet,YES,
PDR074,*aṇá-ŋ-,to suffer; to suppress,1-all-three-agree,EM_PS,"Emotion — Pain, Suffering",BP_SM,"Body Parts & Functions — Strong, Mighty, Powerful",EM_PS,"Emotion — Pain, Suffering",EM_PS,"Emotion — Pain, Suffering",YES,YES
PDR075,*aṇáŋ- (?),lower part of mouth; neck,3-llm-alone,BP_JW,Body Parts & Functions — Jaw,BP_NK,Body Parts & Functions — Neck,BP_MO,Body Parts & Functions — Mouth,BP_MO,Body Parts & Functions — Mouth,,
PDR076,*anc-,"edge, border",1-all-three-agree,SR_ED,Spatial Relations — Edge,PW_WA,Physical World — Water,SR_ED,Spatial Relations — Edge,SR_ED,Spatial Relations — Edge,YES,YES
PDR077,*áncV,relay post,3-llm-alone,AV_PN,"Agriculture & Vegetation — Plant, Herb",FD_VE,Food & Drink — Vegetables,MO_SE,Motion & Transportation — to Send,MO_SE,Motion & Transportation — to Send,,
PDR078,*and-,to be within reach,1-all-three-agree,MO_AR,"Motion & Transportation — to Reach, Arrive",PT_GO,"Possession & Trade — to Get, Obtain",MO_AR,"Motion & Transportation — to Reach, Arrive",MO_AR,"Motion & Transportation — to Reach, Arrive",YES,YES
PDR079,*ánḍi,mango stone,3-llm-alone,FD_NT,Food & Drink — Nut,BP_TS,Body Parts & Functions — Testicle,FD_PC,Food & Drink — Peach,PW_SR,"Physical World — Rock, Stone",,
PDR080,*and-/*čand-,beauty,1-all-three-agree,EM_BF,Emotion — Beautiful,SP_SG,"Sense Perception — Sight (obj), Look (obj), Appearance",EM_BF,Emotion — Beautiful,EM_BF,Emotion — Beautiful,YES,YES
PDR081,*ándug-,clearing nut plant,3-llm-alone,AV_PN,"Agriculture & Vegetation — Plant, Herb",FD_VE,Food & Drink — Vegetables,FD_NT,Food & Drink — Nut,FD_NT,Food & Drink — Nut,,
PDR082,*aṇí-,to wear (ornaments); beauty,3-llm-alone,CA_AD,Clothing & Adornment — Adornment (personal),EM_BF,Emotion — Beautiful,CA_NC,Clothing & Adornment — Necklace,CA_NC,Clothing & Adornment — Necklace,,
PDR083,*an-p-,1 to load 2 to send away,3-llm-alone,MO_CA,"Motion & Transportation — to Bear, Carry",MO_SE,Motion & Transportation — to Send,MO_SE,Motion & Transportation — to Send,MO_SE,Motion & Transportation — to Send,,
PDR084,*anṭ-,to stick,3-llm-alone,PA_BI,Physical Acts & Materials — to Bind,PA_RU,Physical Acts & Materials — to Rub,PW_MT,"Physical World — Match, Fire Stick",PA_SO,"Physical Acts & Materials — to Strew, Spread Out",,
PDR085,*aṇV́-,to mock,3-llm-alone,EM_AG,Emotion — Anger,SO_SQ,"Social Relations — Strife, Quarrel",BP_TS,Body Parts & Functions — Testicle,EM_DA,Emotion — to Dare,,
PDR086,*anǯ-,to fear,1-all-three-agree,EM_FF,"Emotion — Fear, Fright",EM_WW,"Emotion — to Will, Wish",EM_FF,"Emotion — Fear, Fright",EM_FF,"Emotion — Fear, Fright",YES,YES
PDR087,*aŋ-,a k. of relative (brother/sister),3-llm-alone,MK_SI,Mankind — Sister,MK_BS,Mankind — Sibling(s),MK_BS,Mankind — Sibling(s),MK_SW,Mankind — Sister-in-Law,,
PDR088,*áŋal-,"to weep, to grieve",1-all-three-agree,EM_CW,"Emotion — to Cry, Weep",EM_GS,"Emotion — Grief, Sorrow",EM_CW,"Emotion — to Cry, Weep",EM_CW,"Emotion — to Cry, Weep",YES,YES
PDR089,*aŋā́ḍi,market,3-llm-alone,PT_SS,"Possession & Trade — Store, Shop (n)",PT_MK,Possession & Trade — Market (place),PT_MK,Possession & Trade — Market (place),PT_MK,Possession & Trade — Market (place),,
PDR090,*áŋāl-,"to yawn, gape",1-all-three-agree,BP_YG,"Body Parts & Functions — to Gape, Yawn",MO_BL,Motion & Transportation — to Blow,BP_YG,"Body Parts & Functions — to Gape, Yawn",BP_YG,"Body Parts & Functions — to Gape, Yawn",YES,YES
PDR091,*áŋka-,"fight, quarrel",3-llm-alone,WH_FI,Warfare & Hunting — to Fight,SO_SQ,"Social Relations — Strife, Quarrel",SO_SQ,"Social Relations — Strife, Quarrel",SO_SQ,"Social Relations — Strife, Quarrel",,
PDR092,*áŋkaṇa-,space between two pillars,3-llm-alone,DF_WL,Dwellings & Furniture — Wall,PA_BE,Physical Acts & Materials — Beam,SR_SI,Spatial Relations — to Sit,SR_ST,Spatial Relations — to Stand,,
PDR093,*ápa-,father (hon.),1-all-three-agree,MK_FA,Mankind — Father,MK_PA,Mankind — Parent(s),MK_FA,Mankind — Father,MK_FA,Mankind — Father,YES,YES
PDR094,*ápa-,cake (of rice flour; of special interest to children),1-all-three-agree,FD_CA,Food & Drink — Cake,FD_BD,Food & Drink — Bread,FD_CA,Food & Drink — Cake,FD_CA,Food & Drink — Cake,YES,YES
PDR095,"*ap-, *áp-aḷi-","to stick (with hand), plaster",2-llm-plus-one,PA_RU,Physical Acts & Materials — to Rub,PA_SH,"Physical Acts & Materials — to Hit, Strike, Beat",PA_RU,Physical Acts & Materials — to Rub,PA_MO,Physical Acts & Materials — Mortar,YES,
PDR096,*ar-,rare,3-llm-alone,SR_SM,"Spatial Relations — Small, Little",SR_XL,"Spatial Relations — Big, Large, Great",QN_LF,"Quantity & Number — Few, Little",QN_LF,"Quantity & Number — Few, Little",,
PDR097,*arái-,to rub two things against each other (> to grind; to launder),3-llm-alone,FD_GR,Food & Drink — to Grind,PA_RU,Physical Acts & Materials — to Rub,PA_RU,Physical Acts & Materials — to Rub,PA_RU,Physical Acts & Materials — to Rub,,
PDR098,*arai,half,1-all-three-agree,QN_HA,Quantity & Number — Half,QN_PR,Quantity & Number — Part (n),QN_HA,Quantity & Number — Half,QN_HA,Quantity & Number — Half,YES,YES
PDR099,*arajái,Ficus religiosa,3-llm-alone,AV_TR,Agriculture & Vegetation — Tree (generic),PW_TR,"Physical World — Tree, Oak",RB_HS,"Religion & Beliefs — Holy, Sacred",RB_HS,"Religion & Beliefs — Holy, Sacred",,
PDR100,*argil-,chest (of body),1-all-three-agree,BP_FC,Body Parts & Functions — Front of Chest,BP_BO,Body Parts & Functions — Body,BP_FC,Body Parts & Functions — Front of Chest,BP_FC,Body Parts & Functions — Front of Chest,YES,YES
PDR101,*arí-,"to cut, chip",2-llm-plus-one,PA_CU,Physical Acts & Materials — to Cut,PA_SH,"Physical Acts & Materials — to Hit, Strike, Beat",FD_KN,Food & Drink — Knife,PA_CU,Physical Acts & Materials — to Cut,,YES
PDR102,*ari,rice,1-all-three-agree,AV_RI,Agriculture & Vegetation — Rice,FD_FD,Food & Drink — Food,AV_RI,Agriculture & Vegetation — Rice,AV_RI,Agriculture & Vegetation — Rice,YES,YES
PDR103,*arí-,"to sift, strain",3-llm-alone,PA_WA,Physical Acts & Materials — to Wash,SP_TV,Sense Perception — to Touch,PA_SR,Physical Acts & Materials — to Stretch,SP_SP,Sense Perception — Sharp,,
PDR104,*ari,"tax, tribute",1-all-three-agree,PT_TX,Possession & Trade — Tax (n),PT_PA,Possession & Trade — to Pay,PT_TX,Possession & Trade — Tax (n),PT_TX,Possession & Trade — Tax (n),YES,YES
PDR105,*arí- ~ *arál-,to fall,1-all-three-agree,MO_FA,Motion & Transportation — to Fall,MO_DR,Motion & Transportation — to Drop,MO_FA,Motion & Transportation — to Fall,MO_FA,Motion & Transportation — to Fall,YES,YES
PDR106,*arisana- (?),saffron; yellow,3-llm-alone,FD_VE,Food & Drink — Vegetables,SP_YL,Sense Perception — Yellow,SP_YL,Sense Perception — Yellow,SP_YL,Sense Perception — Yellow,,
PDR107,*á[r]ti,a k. of tree (Ficus glomerata = Ficus racemosa),1-all-three-agree,AV_TR,Agriculture & Vegetation — Tree (generic),FD_FR,Food & Drink — Fruit,AV_TR,Agriculture & Vegetation — Tree (generic),AV_TR,Agriculture & Vegetation — Tree (generic),YES,YES
PDR108,*arú-,to approach; neighbour,2-llm-plus-one,MO_AP,Motion & Transportation — to Approach,SR_NE,Spatial Relations — Near (adj),SO_NE,Social Relations — Neighbor,MO_AP,Motion & Transportation — to Approach,,YES
PDR109,*arúḷ-,to be gracious to; to favour,3-llm-alone,SO_HA,"Social Relations — to Help, Aid",EM_LO,Emotion — to Love; Love,EM_PL,Emotion — to Please,EM_PR,Emotion — Praise (n),,
PDR110,*ar[V]-,to climb,2-llm-plus-one,MO_RI,Motion & Transportation — to Rise,MO_GO,Motion & Transportation — to Go,MO_RL,"Motion & Transportation — to Lift, Raise",MO_RI,Motion & Transportation — to Rise,,YES
PDR111,*aṟ-,"palm of hand, sole of foot",2-llm-plus-one,BP_HN,Body Parts & Functions — Hand,BP_FT,Body Parts & Functions — Foot,BP_FT,Body Parts & Functions — Foot,BP_HN,Body Parts & Functions — Hand,,YES
PDR112,*aṟ-,to be digested,3-llm-alone,FD_CO,Food & Drink — to Cook,BP_LL,Body Parts & Functions — to Live; Living; Life,BP_ED,"Body Parts & Functions — to Void Excrement; Dung, Excrement",FD_KD,Food & Drink — to Knead,,
PDR113,*aṟ- (*-ḏ-),to cut,1-all-three-agree,PA_CU,Physical Acts & Materials — to Cut,PA_TE,Physical Acts & Materials — to Tear,PA_CU,Physical Acts & Materials — to Cut,PA_CU,Physical Acts & Materials — to Cut,YES,YES
PDR114,*aṟ-a-,"to speak, sound",2-llm-plus-one,LM_ST,"Language & Music — to Speak, Talk",LM_SY,Language & Music — to Say,LM_ST,"Language & Music — to Speak, Talk",SP_HE,Sense Perception — to Hear,YES,
PDR115,*aṟ-ai,"room, apartment",1-all-three-agree,DF_RO,Dwellings & Furniture — Room,DF_HS,Dwellings & Furniture — House,DF_RO,Dwellings & Furniture — Room,DF_RO,Dwellings & Furniture — Room,YES,YES
PDR116,*àṟ-ai (*-ḏ-),rock,1-all-three-agree,PW_SR,"Physical World — Rock, Stone",PW_GS,"Physical World — Ground, Soil",PW_SR,"Physical World — Rock, Stone",PW_SR,"Physical World — Rock, Stone",YES,YES
PDR117,*asái,"to shake, stir, tremble; (to sweep)",1-all-three-agree,MO_SH,Motion & Transportation — to Shake,MO_MO,Motion & Transportation — to Move,MO_SH,Motion & Transportation — to Shake,MO_SH,Motion & Transportation — to Shake,YES,YES
PDR118,*asái,"faint, weary",3-llm-alone,BP_WE,"Body Parts & Functions — Weak, Infirm",EM_PS,"Emotion — Pain, Suffering",TI_HH,"Time — to Hurry, Hasten",EM_TC,"Emotion — Timid, Cowardly",,
